id,type,sourceName,sourceVersion,unit,creationDate,startDate,endDate,value,device
1316,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:29:00-03:00,2020-09-18 00:29:59-03:00,84.0,
1317,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:30:00-03:00,2020-09-18 00:30:59-03:00,80.0,
1318,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:31:00-03:00,2020-09-18 00:31:59-03:00,85.0,
1319,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:32:00-03:00,2020-09-18 00:32:59-03:00,78.0,
1320,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:33:00-03:00,2020-09-18 00:33:59-03:00,76.0,
1321,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:34:00-03:00,2020-09-18 00:34:59-03:00,89.0,
1322,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:35:00-03:00,2020-09-18 00:35:59-03:00,79.0,
1323,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:36:00-03:00,2020-09-18 00:36:59-03:00,82.0,
1324,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:37:00-03:00,2020-09-18 00:37:59-03:00,85.0,
1325,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:38:00-03:00,2020-09-18 00:38:59-03:00,85.0,
1326,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:39:00-03:00,2020-09-18 00:39:59-03:00,85.0,
1327,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:40:00-03:00,2020-09-18 00:40:59-03:00,81.0,
1328,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:41:00-03:00,2020-09-18 00:41:59-03:00,79.0,
1329,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:42:00-03:00,2020-09-18 00:42:59-03:00,78.0,
1330,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:43:00-03:00,2020-09-18 00:43:59-03:00,83.0,
1331,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:44:00-03:00,2020-09-18 00:44:59-03:00,85.0,
1332,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:45:00-03:00,2020-09-18 00:45:59-03:00,75.0,
1333,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:46:00-03:00,2020-09-18 00:46:59-03:00,77.0,
1334,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:47:00-03:00,2020-09-18 00:47:59-03:00,80.0,
1335,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:48:00-03:00,2020-09-18 00:48:59-03:00,79.0,
1336,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:50:00-03:00,2020-09-18 00:50:59-03:00,80.0,
1337,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:51:00-03:00,2020-09-18 00:51:59-03:00,76.0,
1338,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:52:00-03:00,2020-09-18 00:52:59-03:00,83.0,
1339,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:53:00-03:00,2020-09-18 00:53:59-03:00,82.0,
1340,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:54:00-03:00,2020-09-18 00:54:59-03:00,90.0,
1341,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:55:00-03:00,2020-09-18 00:55:59-03:00,87.0,
1342,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:56:00-03:00,2020-09-18 00:56:59-03:00,86.0,
1343,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:57:00-03:00,2020-09-18 00:57:59-03:00,81.0,
1344,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:58:00-03:00,2020-09-18 00:58:59-03:00,91.0,
1345,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:59:00-03:00,2020-09-18 00:59:59-03:00,86.0,
1346,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:00:00-03:00,2020-09-18 01:00:59-03:00,86.0,
1347,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:01:00-03:00,2020-09-18 01:01:59-03:00,92.0,
1348,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:02:00-03:00,2020-09-18 01:02:59-03:00,116.0,
1349,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:03:00-03:00,2020-09-18 01:03:59-03:00,86.0,
1350,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:04:00-03:00,2020-09-18 01:04:59-03:00,78.0,
1351,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:05:00-03:00,2020-09-18 01:05:59-03:00,84.0,
1352,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:06:00-03:00,2020-09-18 01:06:59-03:00,84.0,
1353,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:07:00-03:00,2020-09-18 01:07:59-03:00,90.0,
1354,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:08:00-03:00,2020-09-18 01:08:59-03:00,81.0,
1355,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:09:00-03:00,2020-09-18 01:09:59-03:00,91.0,
1356,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:10:00-03:00,2020-09-18 01:10:59-03:00,76.0,
1357,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:11:00-03:00,2020-09-18 01:11:59-03:00,78.0,
1358,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:12:00-03:00,2020-09-18 01:12:59-03:00,79.0,
1359,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:13:00-03:00,2020-09-18 01:13:59-03:00,86.0,
1360,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:14:00-03:00,2020-09-18 01:14:59-03:00,92.0,
1361,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:15:00-03:00,2020-09-18 01:15:59-03:00,88.0,
1362,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:16:00-03:00,2020-09-18 01:16:59-03:00,92.0,
1363,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:17:00-03:00,2020-09-18 01:17:59-03:00,88.0,
1364,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:18:00-03:00,2020-09-18 01:18:59-03:00,86.0,
1365,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:19:00-03:00,2020-09-18 01:19:59-03:00,85.0,
1366,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:20:00-03:00,2020-09-18 01:20:59-03:00,86.0,
1367,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:21:00-03:00,2020-09-18 01:21:59-03:00,86.0,
1368,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:22:00-03:00,2020-09-18 01:22:59-03:00,86.0,
1369,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:23:00-03:00,2020-09-18 01:23:59-03:00,85.0,
1370,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:24:00-03:00,2020-09-18 01:24:59-03:00,92.0,
1371,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:25:00-03:00,2020-09-18 01:25:59-03:00,80.0,
1372,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:26:00-03:00,2020-09-18 01:26:59-03:00,84.0,
1373,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:27:00-03:00,2020-09-18 01:27:59-03:00,80.0,
1374,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:28:00-03:00,2020-09-18 01:28:59-03:00,84.0,
1375,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:29:00-03:00,2020-09-18 01:29:59-03:00,86.0,
1376,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:30:00-03:00,2020-09-18 01:30:59-03:00,85.0,
1377,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:31:00-03:00,2020-09-18 01:31:59-03:00,85.0,
1378,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:32:00-03:00,2020-09-18 01:32:59-03:00,92.0,
1379,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:33:00-03:00,2020-09-18 01:33:59-03:00,76.0,
1380,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:34:00-03:00,2020-09-18 01:34:59-03:00,81.0,
1381,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:35:00-03:00,2020-09-18 01:35:59-03:00,79.0,
1382,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:36:00-03:00,2020-09-18 01:36:59-03:00,84.0,
1383,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:37:00-03:00,2020-09-18 01:37:59-03:00,86.0,
1384,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 01:38:00-03:00,2020-09-18 01:38:59-03:00,86.0,
